,lnR,lnR_2
2016-12-08,-0.009544275571107264,9.109319617723489e-05
2016-12-09,-0.007032724852695793,4.945921885372506e-05
2016-12-12,-0.05657340027959812,0.0032005496191956323
2016-12-13,0.000327502944155178,1.0725817843030964e-07
2016-12-14,-0.011124396657680613,0.0001237522009974156
2016-12-15,0.00648401710117863,4.204247776837692e-05
2016-12-16,0.011203048252821368,0.0001255082901550439
2016-12-19,-0.008897839788607698,7.917155290373028e-05
2016-12-20,0.0009538927366934402,9.099113531165009e-07
2016-12-21,0.004730758697057524,2.2380077849785404e-05
2016-12-22,-0.0027300373670637867,7.453104025564573e-06
2016-12-23,-0.011000386819817187,0.00012100851018560769
2016-12-26,0.004808885630382953,2.312538100610365e-05
2016-12-27,-0.0027342171890056832,7.47594363665414e-06
2016-12-28,-0.005843456258439517,3.414598104429596e-05
2016-12-29,0.0010673095367934593,1.1391496473302688e-06
2016-12-30,0.001438298771399893,2.0687033558104413e-06
2017-01-03,0.0006114151393434852,3.738284726184135e-07
2017-01-04,0.014316915552043064,0.00020497407092433253
2017-01-05,-0.0038233846261066518,1.4618269999148701e-05
2017-01-06,-0.009592375400361064,9.201366582145208e-05
2017-01-09,-0.0017368499139118754,3.016647623455689e-06
2017-01-10,-0.005080122340388904,2.5807642993318436e-05
2017-01-11,-0.00726625176195661,5.279841466813754e-05
2017-01-12,-0.0038317492179151813,1.4682302068993604e-05
2017-01-13,-0.015770232419681562,0.0002487002305707754
2017-01-16,-0.03704196683660488,0.0013721073071241356
2017-01-17,0.020018404347387886,0.0004007365126155182
2017-01-18,-0.011891374107580788,0.00014140477816644277
2017-01-19,-0.0008943259682290261,7.99818937448785e-07
2017-01-20,0.019657589296819822,0.00038642081696244523
2017-01-23,0.0034871998969805418,1.2160563121501102e-05
2017-01-24,-0.013925646669126657,0.00019392363515335835
2017-01-25,0.005080505686674286,2.5811538032329756e-05
2017-01-26,0.008267435622610897,6.835049177401563e-05
2017-02-03,-0.005033242178356545,2.5333526825987338e-05
2017-02-06,0.012543814418018329,0.0001573472801536845
2017-02-07,-0.005974294602366648,3.569219599586726e-05
2017-02-08,0.007646184121373523,5.8464131617944585e-05
2017-02-09,0.005474499686455303,2.997014681699921e-05
2017-02-10,-0.004923073974469894,2.4236657358102796e-05
2017-02-13,0.004714074454407857,2.2222497961700735e-05
2017-02-14,-0.0022442705996166268,5.0367505243035735e-06
2017-02-15,-0.00895909194961586,8.026532856167172e-05
