,lnR,lnR_2,szzsRV,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,M,Tu,W,Th,F,Sa,Su,ntd_cnt
2008-07-10,-0.01556140136160522,0.00024215721233696881,0.0006081648846928566,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-11,-0.006565175103205867,4.3101524135754167e-05,0.00032979126424475587,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-14,0.00754054653249181,5.6859842008674257e-05,0.00032609197374807407,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-15,-0.0349322083338901,0.001220259179082301,0.0004529897390195611,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-16,-0.02682996833185225,0.0007198472006881946,0.0005577072986566736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-17,-0.007824335525465465,6.122022641506092e-05,0.0006692687924791227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-18,0.03426530205944189,0.001174110925224793,0.0007063200326917328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-21,0.029453961119561,0.0008675358256326111,0.00044797387006939273,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-22,-0.005361697004333976,2.8747794766283934e-05,0.00025529911037643077,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-23,-0.002909238314045659,8.463667567911228e-06,0.0002545582914844008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-24,0.025207048953030053,0.0006353953169204535,0.00027391277038710124,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-07-25,-0.015649817192496585,0.0002449167781585617,0.00030754747536895663,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-07-28,0.01314521608935948,0.00017279670603595533,0.00022470123681557548,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
2008-07-29,-0.018320707554673632,0.0003356483253038755,0.0002996419778340623,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2008-07-30,-0.004797987181801133,2.3020680996727982e-05,0.0002400302706462182,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2008-07-31,-0.021721031749483366,0.0004718032202620644,0.00017293051511139707,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-01,0.009359043086655028,8.759168749786527e-05,0.0005462678833136783,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-04,-0.021675379943509654,0.00046982209569550057,0.0002842690439787455,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
2008-08-05,-0.018774276759186748,0.0003524734678305397,0.0002567024100668196,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2008-08-06,0.010581021781812971,0.00011195802194720055,0.00039896588962027885,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2008-08-07,0.0030141689387512827,9.085214391333034e-06,0.00017488570167906964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
